user_email,shared_to
1@qq.com,2@qq.com
1@qq.com,3@qq.com
1@qq.com,4@qq.com
1@qq.com,5@qq.com
1@qq.com,6@qq.com
1@qq.com,7@qq.com
1@qq.com,8@qq.com
1@qq.com,9@qq.com
1@qq.com,99@qq.com
2@qq.com,1@qq.com
2@qq.com,3@qq.com
2@qq.com,4@qq.com
2@qq.com,5@qq.com
2@qq.com,6@qq.com
2@qq.com,7@qq.com
2@qq.com,8@qq.com
2@qq.com,9@qq.com
2@qq.com,99@qq.com
3@qq.com,2@qq.com
3@qq.com,4@qq.com
3@qq.com,5@qq.com
3@qq.com,6@qq.com
3@qq.com,7@qq.com
3@qq.com,8@qq.com
3@qq.com,9@qq.com
3@qq.com,99@qq.com
4@qq.com,1@qq.com
